"ID","NeighborID","Counter","Ticks"
"17","45",14457,5770
"17","45",14458,5771
"17","45",14459,5771
"17","255",14460,5771
"17","255",14461,5772
"17","255",14462,5772
"17","14",14463,5773
"17","14",14464,5773
"17","14",14465,5773
"17","14",14466,5774
"17","14",14467,5774
"17","14",14468,5775
"17","14",14469,5775
"17","22",14470,5775
"17","24",14471,5776
"17","15",14472,5776
"17","31",14473,5777
"17","31",14474,5777
"17","47",14475,5778
"17","47",14476,5778
"17","23",14477,5778
"17","11",14478,5779
"17","20",14479,5779
"17","20",14480,5780
"17","20",14481,5780
"17","20",14482,5780
"17","4",14483,5781
"17","4",14484,5781
"17","25",14485,5782
"17","25",14486,5782
"17","25",14487,5782
"17","25",14488,5783
"17","25",14489,5783
"17","25",14490,5784
"17","25",14491,5784
"17","33",14492,5784
"17","33",14493,5785
"17","35",14494,5785
"17","32",14495,5786
"17","32",14496,5786
"17","45",14497,5786
"17","6",14498,5787
"17","9",14499,5787
"17","9",14500,5788
"17","255",14501,5788
"17","26",14502,5788
"17","29",14503,5789
"17","29",14504,5789
"17","29",14505,5790
"17","29",14506,5790
"17","10",14507,5791
"17","10",14508,5791
"17","10",14509,5791
"17","14",14510,5792
"17","14",14511,5792
"17","15",14512,5793
"17","15",14513,5793
"17","12",14514,5793
"17","12",14515,5794
"17","34",14516,5794
"17","34",14517,5795
"17","22",14518,5795
"17","47",14519,5795
"17","47",14520,5796
"17","47",14521,5796
"17","47",14522,5797
"17","47",14523,5797
"17","47",14524,5798
"17","47",14525,5798
"17","20",14526,5798
"17","20",14527,5799
"17","41",14528,5799
"17","41",14529,5800
"17","41",14530,5800
"17","41",14531,5800
"17","41",14532,5801
"17","41",14533,5801
"17","33",14534,5802
"17","35",14535,5802
"17","35",14536,5802
"17","35",14537,5803
"17","35",14538,5803
"17","32",14539,5804
"17","32",14540,5804
"17","32",14541,5804
"17","32",14542,5805
"17","32",14543,5805
"17","6",14544,5806
"17","6",14545,5806
"17","6",14546,5806
"17","26",14547,5807
"17","9",14548,5807
"17","9",14549,5808
"17","29",14550,5808
"17","29",14551,5808
"17","29",14552,5809
"17","29",14553,5809
"17","29",14554,5810
"17","29",14555,5810
"17","29",14556,5810
"17","29",14557,5811
"17","29",14558,5811
"17","23",14559,5812
"17","23",14560,5812
"17","23",14561,5812
"17","23",14562,5813
"17","47",14563,5813
"17","24",14564,5814
"17","34",14565,5814
"17","34",14566,5814
"17","34",14567,5815
"17","34",14568,5815
"17","31",14569,5816
"17","31",14570,5816
"17","31",14571,5817
"17","31",14572,5817
"17","31",14573,5817
"17","31",14574,5818
"17","20",14575,5818
"17","33",14576,5819
"17","33",14577,5819
"17","25",14578,5819
"17","25",14579,5820
"17","35",14580,5820
"17","35",14581,5821
"17","45",14582,5821
"17","255",14583,5821
"17","32",14584,5822
"17","32",14585,5822
"17","32",14586,5823
"17","32",14587,5823
"17","6",14588,5824
"17","6",14589,5824
"17","6",14590,5824
"17","6",14591,5825
"17","6",14592,5825
"17","26",14593,5825
"17","26",14594,5826
"17","26",14595,5826
"17","29",14596,5827
"17","9",14597,5827
"17","9",14598,5827
"17","9",14599,5828
"17","9",14600,5828
"17","9",14601,5829
"17","9",14602,5829
"17","7",14603,5829
"17","7",14604,5830
"17","10",14605,5830
"17","11",14606,5831
"17","42",14607,5831
"17","42",14608,5831
"17","9",14609,5832
"17","9",14610,5832
"17","9",14611,5833
"17","9",14612,5833
"17","24",14613,5834
"17","24",14614,5834
"17","31",14615,5834
"17","41",14616,5835
"17","41",14617,5835
"17","33",14618,5836
"17","34",14619,5836
"17","25",14620,5836
"17","25",14621,5837
"17","255",14622,5837
"17","45",14623,5838
"17","35",14624,5838
"17","35",14625,5838
"17","35",14626,5839
"17","22",14627,5839
"17","22",14628,5840
"17","22",14629,5840
"17","22",14630,5841
"17","32",14631,5841
"17","32",14632,5841
"17","32",14633,5842
"17","32",14634,5842
"17","15",14635,5843
"17","15",14636,5843
"17","15",14637,5843
"17","26",14638,5844
"17","26",14639,5844
"17","26",14640,5845
"17","26",14641,5845
"17","26",14642,5845
"17","29",14643,5846
"17","29",14644,5846
"17","29",14645,5847
"17","9",14646,5847
"17","9",14647,5847
"17","11",14648,5848
"17","11",14649,5848
"17","7",14650,5849
"17","42",14651,5849
"17","42",14652,5849
"17","42",14653,5850
"17","42",14654,5850
"17","42",14655,5851
"17","9",14656,5851
"17","10",14657,5852
"17","10",14658,5852
"17","10",14659,5852
"17","10",14660,5853
"17","41",14661,5853
"17","31",14662,5854
"17","25",14663,5854
"17","25",14664,5854
"17","25",14665,5855
"17","25",14666,5855
"17","25",14667,5856
"17","35",14668,5856
"17","35",14669,5856
"17","32",14670,5857
"17","20",14671,5857
"17","20",14672,5858
"17","20",14673,5858
"17","20",14674,5858
"17","22",14675,5859
"17","15",14676,5859
"17","15",14677,5860
"17","15",14678,5860
"17","15",14679,5860
"17","15",14680,5861
"17","15",14681,5861
"17","26",14682,5862
