"Ticks","Cycles","Counter"
4418,12,2147
4418,12,2148
4418,12,2149
4419,12,2150
4419,12,2151
4419,12,2152
4420,12,2153
4420,12,2154
4420,12,2155
4421,12,2156
4421,12,2157
4421,12,2158
4421,12,2159
4422,12,2160
4422,12,2161
4422,12,2162
4423,12,2163
4423,12,2164
4423,12,2165
4424,12,2166
4424,12,2167
4424,12,2168
4424,12,2169
4425,12,2170
4425,12,2171
4425,12,2172
4426,12,2173
4426,12,2174
4426,12,2175
4427,12,2176
4427,12,2177
4427,12,2178
4428,12,2179
4428,12,2180
4428,12,2181
4428,12,2182
4429,12,2183
4429,12,2184
4429,12,2185
4430,12,2186
4430,12,2187
4430,12,2188
4431,12,2189
4431,12,2190
4431,12,2191
4432,12,2192
4432,12,2193
4432,12,2194
4432,12,2195
4433,12,2196
4433,12,2197
4433,12,2198
4434,12,2199
4434,12,2200
4434,12,2201
4435,12,2202
4435,12,2203
4435,12,2204
4435,12,2205
4436,12,2206
4436,12,2207
4436,12,2208
4437,12,2209
4437,12,2210
4437,12,2211
4438,12,2212
4438,12,2213
4438,12,2214
4438,12,2215
4439,12,2216
4439,12,2217
4439,12,2218
4440,12,2219
4440,12,2220
4440,12,2221
4441,12,2222
4441,12,2223
4441,12,2224
4441,12,2225
4442,12,2226
4442,12,2227
4442,12,2228
4443,12,2229
4443,12,2230
4443,12,2231
4444,12,2232
4444,12,2233
4444,12,2234
4444,12,2235
4445,13,2236
4445,13,2237
4445,13,2238
4446,13,2239
4446,13,2240
4446,13,2241
4447,13,2242
4447,13,2243
4447,13,2244
4447,13,2245
4448,13,2246
4448,13,2247
4449,13,2248
4449,13,2249
4449,13,2250
4449,13,2251
4450,13,2252
4450,13,2253
4450,13,2254
4451,13,2255
4451,13,2256
4451,13,2257
4452,13,2258
4452,13,2259
4452,13,2260
4452,13,2261
4453,13,2262
4453,13,2263
4453,13,2264
4454,13,2265
4454,13,2266
4454,13,2267
4455,13,2268
4455,13,2269
4455,13,2270
4455,13,2271
4456,13,2272
4456,13,2273
4456,13,2274
4457,13,2275
4457,13,2276
4457,13,2277
4458,13,2278
4458,13,2279
4458,13,2280
4458,13,2281
4459,13,2282
4459,13,2283
4459,13,2284
4460,13,2285
4460,13,2286
4460,13,2287
4461,13,2288
4461,13,2289
4461,13,2290
4461,13,2291
4462,13,2292
4462,13,2293
4462,13,2294
4463,13,2295
4463,13,2296
4463,13,2297
4464,13,2298
4464,13,2299
4464,13,2300
4465,13,2301
4465,13,2302
4465,13,2303
4465,13,2304
4466,13,2305
4466,13,2306
4466,13,2307
4467,13,2308
4467,13,2309
4467,13,2310
4468,13,2311
4468,13,2312
4468,13,2313
4469,13,2314
4469,13,2315
4469,13,2316
4469,13,2317
4470,13,2318
4470,13,2319
4470,13,2320
4471,13,2321
4471,13,2322
4471,13,2323
4472,13,2324
4472,13,2325
4472,13,2326
4472,13,2327
4473,13,2328
4473,13,2329
4473,13,2330
4474,13,2331
4474,13,2332
4474,13,2333
4475,13,2334
4475,13,2335
4475,13,2336
4476,13,2337
4476,13,2338
4476,13,2339
4476,13,2340
4477,13,2341
4477,13,2342
4477,13,2343
4478,13,2344
4478,13,2345
4478,13,2346
4479,13,2347
4479,13,2348
4479,13,2349
4479,13,2350
4480,13,2351
4480,13,2352
4480,13,2353
4481,13,2354
4481,13,2355
4481,13,2356
4482,13,2357
4482,13,2358
4482,13,2359
4482,13,2360
4483,13,2361
4483,13,2362
4483,13,2363
4484,13,2364
4484,13,2365
4484,13,2366
4485,13,2367
4485,13,2368
4485,13,2369
4486,13,2370
4486,13,2371
4486,13,2372
4486,13,2373
4487,13,2374
4487,13,2375
4487,13,2376
4488,13,2377
4488,13,2378
4488,13,2379
4489,13,2380
4489,13,2381
4489,13,2382
4490,13,2383
4490,13,2384
4490,13,2385
4490,13,2386
4491,13,2387
4491,13,2388
4491,13,2389
4492,13,2390
4492,13,2391
4492,13,2392
4493,13,2393
4493,13,2394
4493,13,2395
4493,13,2396
4494,13,2397
4494,13,2398
4494,13,2399
4495,13,2400
4495,13,2401
4495,13,2402
4496,13,2403
4496,13,2404
4496,13,2405
4496,13,2406
4497,13,2407
4497,14,2408
4497,14,2409
4498,14,2410
4498,14,2411
4498,14,2412
4499,14,2413
4499,14,2414
4499,14,2415
4499,14,2416
4500,14,2417
4500,14,2418
4500,14,2419
4501,14,2420
4501,14,2421
4501,14,2422
4502,14,2423
4502,14,2424
4502,14,2425
4503,14,2426
4503,14,2427
4503,14,2428
4504,14,2429
4504,14,2430
4504,14,2431
4504,14,2432
4505,14,2433
4505,14,2434
4505,14,2435
4506,14,2436
4506,14,2437
4506,14,2438
4507,14,2439
4507,14,2440
4507,14,2441
4507,14,2442
4508,14,2443
4508,14,2444
4508,14,2445
4509,14,2446
4509,14,2447
4509,14,2448
4510,14,2449
4510,14,2450
4510,14,2451
4510,14,2452
4511,14,2453
4511,14,2454
4511,14,2455
4512,14,2456
4512,14,2457
4512,14,2458
4513,14,2459
4513,14,2460
4513,14,2461
4513,14,2462
4514,14,2463
4514,14,2464
4514,14,2465
4515,14,2466
4515,14,2467
4515,14,2468
4516,14,2469
4516,14,2470
4516,14,2471
4516,14,2472
4517,14,2473
4517,14,2474
4517,14,2475
4518,14,2476
4518,14,2477
4518,14,2478
4519,14,2479
4519,14,2480
4519,14,2481
4520,14,2482
4520,14,2483
4520,14,2484
4521,14,2485
4521,14,2486
4521,14,2487
4521,14,2488
4522,14,2489
4522,14,2490
